startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar_0,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9
453,안산역,409,당고개역,448,상록수역,0,0,FRI,10,10,10,20,22,26,22,17,17,15,14.0,18.0
453,안산역,409,당고개역,448,상록수역,0,0,FRI,10,20,15,17,16,14,21,15,16,18,20.0,18.0
453,안산역,409,당고개역,448,상록수역,0,0,FRI,10,30,16,16,15,19,10,16,15,16,20.0,17.0
453,안산역,409,당고개역,448,상록수역,0,0,FRI,10,40,14,23,23,24,20,23,21,15,22.0,13.0
453,안산역,409,당고개역,448,상록수역,0,0,FRI,10,50,17,18,11,33,18,18,11,17,15.0,14.0
456,오이도역,409,당고개역,448,상록수역,0,0,FRI,10,00,19,18,23,26,26,29,24,18,22.0,25.0
456,오이도역,409,당고개역,448,상록수역,0,0,FRI,10,10,11,22,24,29,24,19,19,17,15.0,20.0
456,오이도역,409,당고개역,448,상록수역,0,0,FRI,10,20,17,19,18,15,23,17,18,20,23.0,20.0
456,오이도역,409,당고개역,448,상록수역,0,0,FRI,10,30,21,21,19,25,14,21,19,21,26.0,23.0
456,오이도역,409,당고개역,448,상록수역,0,0,FRI,10,40,14,23,23,24,20,23,21,15,22.0,13.0
456,오이도역,409,당고개역,448,상록수역,0,0,FRI,10,50,17,18,11,33,18,18,11,17,15.0,14.0
456,오이도역,419,한성대입구역,448,상록수역,0,0,FRI,10,00,19,18,23,26,26,29,24,18,22.0,25.0
456,오이도역,419,한성대입구역,448,상록수역,0,0,FRI,10,10,10,20,22,26,22,17,17,15,14.0,18.0
456,오이도역,419,한성대입구역,448,상록수역,0,0,FRI,10,20,15,17,16,14,21,15,16,18,20.0,18.0
456,오이도역,419,한성대입구역,448,상록수역,0,0,FRI,10,30,16,16,15,19,10,16,15,16,20.0,17.0
456,오이도역,419,한성대입구역,448,상록수역,0,0,FRI,10,40,14,23,23,24,20,23,21,15,22.0,13.0
456,오이도역,419,한성대입구역,448,상록수역,0,0,FRI,10,50,17,18,11,33,18,18,11,17,15.0,14.0
456,오이도역,443,금정역,448,상록수역,0,0,FRI,10,00,19,18,23,26,26,29,24,18,22.0,25.0
456,오이도역,443,금정역,448,상록수역,0,0,FRI,10,10,10,20,22,26,22,17,17,15,14.0,18.0
456,오이도역,443,금정역,448,상록수역,0,0,FRI,10,20,15,17,16,14,21,15,16,18,20.0,18.0
